effect,study,hypothesisQuote,studyDesign,copyResult,statType,df1,df2,statistic,N,pReported,pCrit,p-rep,secondContrast,notes
"""Anchoring""",,,,,,,,,,,,,,"""Only a single study in original paper, p-values across different quantities are dependent so cannot be entered simultaneously. Paper omitted"""
"""Allowed/Forbidden""",,,,,,,,,,,,,,"""Only a single study reported in original article, so excluded from analyses"""
"""Retrospective gambler fallacy""",1,"""We predict that in an unambiguously stochastic domain Ñ such as a coin toss or a die throw Ñ people will believe that the series of events has been occurring for longer af- ter witnessing a seemingly unlikely event, than if no such event is observed, even if the event, sampled in isolation, in fact says nothing about the prior number of trials.""","""two groups between subjects""","""Par- ticipants believed that a sequence of coin flips was nearly twice as long before a streak (M = 16.2) than when there was no streak (M = 8.7), and this difference was signifi- cant, t(106) = 2.17, p < .05, CohenÕs d = .42.""",t,106,,2.17,108,< .05,0.05,,0,
"""Retrospective gambler fallacy""",2a,"""We predict that in an unambiguously stochastic domain Ñ such as a coin toss or a die throw Ñ people will believe that the series of events has been occurring for longer af- ter witnessing a seemingly unlikely event, than if no such event is observed, even if the event, sampled in isolation, in fact says nothing about the prior number of trials.""","""three groups, High medium, low""","""The differences between groups was reliable, omnibus F(2, 77) = 4.8, p < .05, CohenÕs f = .18.""",f,2,77,4.8,80,< .05,0.05,,0,"""Neither linear trend nor SDs for individual groups were reported, so omnibus ANOVA result used."""
"""Retrospective gambler fallacy""",2b,"""We predict that in an unambiguously stochastic domain Ñ such as a coin toss or a die throw Ñ people will believe that the series of events has been occurring for longer af- ter witnessing a seemingly unlikely event, than if no such event is observed, even if the event, sampled in isolation, in fact says nothing about the prior number of trials.""","two conditions within subjects, High medium, low""","""A paired-samples t-test run on log-transformed data con- firmed that this difference was reliable, t(27) = 2.67, p < .05., CohenÕs d = .88.""",t,27,,2.67,31,< .05,0.05,,0,
"""Retrospective gambler fallacy""",3,"""We predict that in an unambiguously stochastic domain Ñ such as a coin toss or a die throw Ñ people will believe that the series of events has been occurring for longer af- ter witnessing a seemingly unlikely event, than if no such event is observed, even if the event, sampled in isolation, in fact says nothing about the prior number of trials.""","""Two group between subjects""","""As predicted, we found that the contrast for version was highly significant, t = 2.7, pMCMC < .005""",t,28,,2.7,30,< .005,0.05,,0,"""Exact degrees of freedom not provided"""
"""Gain vs loss framing""",1,"""People will choose differently in gain vs. loss framing conditions""","""2 between subjects conditions. Does proportion choosing the first program differ?""",,chi2,1,307,76.411,307,,0.05,,0,"""Chi-squared values calculated from proportions reported"""
"""Gain vs loss framing""",2,"""People will choose differently in gain vs. loss framing conditions""","""2 within subjects conditions. Do people choose differently when loss vs. gain framed?""",,,,,,150,,0.05,,0,"""No test statistics given, since conditions were within-subject, could not estimate test statistic without contingency"""
"""Gain vs loss framing""",3,"""People will prefer the superior option""","""Choice btween two sets of two outcomes""",,chi2,1,86,86,86,,0.05,,0,"""Chi-square calculated"""
"""Gain vs loss framing""",4,"""People will choose in Problem 6 more similarly to Problem 5 and than Problem 7""","""Experimental vs. Two control""",,chi2,1,162,0.32,243,,0.05,,1,"""Chi-square calculated; problem 5 vs 6 contrast"""
"""Gain vs loss framing""",4,"""People will choose in Problem 6 more similarly to Problem 5 and than Problem 7""","""Experimental vs. Two control""",,chi2,1,166,17.642,243,,0.05,,0,"""Chi-square calculated; problem 6 vs 7 contrast"""
"""Gain vs loss framing""",5,"""People will pay for a new ticket but not a lost one""","""Two between subjects conditions, proportion choosing to pay for ticket""",,chi2,1,383,75.104,383,,0.05,,0,"""Chi-square calculated"""
"""Gain vs loss framing""",6,"""People will evaluate the savings including the price of the calculator""","""Two between subjects conditions, proportion choosing to pay for ticket""",,chi2,1,181,26.394,181,,0.05,,0,"""Chi-square calculated"""
"""Math attitudes""",serendipity1,"""The aim was to determine whether those studies had shown a difference between the male and female college students who participated in them""","""2 (letters vs numbers, within) x 2 (male vs female, between); attenutation""","""In the first study, the implicit numerical dislike effect was _110 ms for women ( p _ .05), compared with _33 ms for men (larger negative numbers indicate stronger negative associations with digits than with letters; p _ .53""",,,,,24,,0.05,,0,"""Hypothesis is for difference (attenuation) between men and women but this test not provided"""
"""Math attitudes""",serendipity2,"""The aim was to determine whether those studies had shown a difference between the male and female college students who participated in them""","""2 (letters vs numbers, within) x 2 (male vs female, between); attenuation""","""In the second study, the corresponding figures were _81 ms for women ( p _ .02) and 23 ms for men ( p _ .68). """,,,,,24,,0.05,,0,"""Hypothesis is for difference (attenuation) between men and women but this test not provided"""
