effect,study,originalStat,repStat,oppositeDir,sigRep
"""Anchoring""",,,,,
"""Allowed/Forbidden""",,,,,
"""Retrospective gambler fallacy""",2a,"f(2,77)=4.8",t(5940)=24.01,FALSE,TRUE
"""Gain vs loss framing""",1,"ci2(1,307)=76.411","ci2(1,6271)=516.4",FALSE,TRUE
"""Math attitudes""",1,t(77)=4.42,t(5840)=19.28,FALSE,TRUE
"""Math attitudes""",2,t(89)=4.26,t(5840)=19.28,FALSE,TRUE
"""Math attitudes""",1+2,r(241)=.42,r(5940)=.38,FALSE,TRUE
"""Low vs high category scales""",1,"chi2(1,132)=7.7","ci2(1,5899)=342.4",FALSE,TRUE
"""Quote Attribution""",,,,,
"""Norm of reciprocity""",,,,,
"""Sunk Costs""",,,,,
"""Imagined contact""",1,t(26)=2.14,t(6334)=5.05,FALSE,TRUE
"""Flag Priming""",pilot,t(50)=6.5,t(4894)=0.88,FALSE,FALSE
"""Currency Priming""",1,t(38)=2.12,t(6331)=0.79,TRUE,FALSE
"""Stroop""",2,t(99)=28.76,t(3336)=50.22,FALSE,TRUE
"""Metaphoric Restructuring""",1,"chi2(1,56)=5.2","chi2(1,1335)=21.90",FALSE,TRUE
"""Availability Heuristic""",3,"chi2(1,152)=22.132","chi2=(1,3088)=5.99",FALSE,TRUE
"""Persistence and Conscientiousness""",,,,,
"""Power and Perspective""",2a,t(40)=2.47,t(2967)=0.89,FALSE,FALSE
"""Weight Embodiment""",2,"F(1,49)=4.33",t(2283)=0.61,FALSE,FALSE
"""Warmth Perceptions""",1,t(78)=3.85,t(3117)=0.22,FALSE,FALSE
"""Elaboration Likelihood""",1,"F(1,110)=22.45","F(1,2361)=0.129",FALSE,FALSE
"""Self-Esteem and Subjective Distance""",2,t(349)=1.98,"F(1,3131)=1.98",FALSE,FALSE
"""Credentials and Prejudice""",1," F(2, 194)=4.4","F(1,3130)=17.01",FALSE,TRUE
